student_id,exercise_id,category,order,score,pass_status,grade,sex,mean_perception,time_spent,total_attempts,cumulative_passes,pass_rate
6,M3S204,Addition,16,1,Pass,3,Boy,2.2,54.95558393747035,1,10,0.625
6,M3S205,Subtraction,17,1,Pass,3,Boy,2.2,44.061740071102086,1,11,0.6470588235294118
6,M3S101,Word_Problems,18,0,Fail,3,Boy,2.2,41.423445600362726,1,11,0.6111111111111112
6,M3S206,Subtraction,19,1,Pass,3,Boy,2.2,11.780572490961761,1,12,0.631578947368421
6,M3S207,Multiplication,20,4,Pass,3,Boy,2.2,13.965173238283805,1,13,0.65
6,M3S502,Geometry,21,0,Fail,3,Boy,2.2,41.02060350896764,1,13,0.6190476190476191
6,M3S302,Missing_Numbers,22,2,Pass,3,Boy,2.2,46.38315424461379,1,14,0.6363636363636364
6,M3S102,Logical_Reasoning,23,1,Pass,3,Boy,2.2,33.05295290014966,1,15,0.6521739130434783
6,M3S208,Division,24,0,Fail,3,Boy,2.2,10.99265594591704,1,15,0.625
6,M3S602,Coding,25,0,Fail,3,Boy,2.2,5.7436400887186965,1,15,0.6
7,M3S201a,Multiplication,1,0,Fail,3,Boy,1.4,42.32789493602332,1,0,0.0
7,M3S201b,Multiplication,2,1,Pass,3,Boy,1.4,25.036513019482285,1,1,0.5
7,M3S201c,Multiplication,3,1,Pass,3,Boy,1.4,39.96989312423545,1,2,0.6666666666666666
7,M3S201d,Multiplication,4,1,Pass,3,Boy,1.4,14.938951232626735,1,3,0.75
7,M3S201e,Multiplication,5,1,Pass,3,Boy,1.4,13.818856517078457,1,4,0.8
7,M3S201f,Multiplication,6,0,Fail,3,Boy,1.4,14.759056860935107,1,4,0.6666666666666666
7,M3S201g,Multiplication,7,1,Pass,3,Boy,1.4,6.072961406131062,1,5,0.7142857142857143
7,M3S201h,Multiplication,8,1,Pass,3,Boy,1.4,58.45647870423905,1,6,0.75
7,M3S201i,Multiplication,9,1,Pass,3,Boy,1.4,28.417502522727133,1,7,0.7777777777777778
7,M3S201j,Multiplication,10,1,Pass,3,Boy,1.4,37.654057848044616,1,8,0.8
7,M3S202,Subtraction,11,2,Pass,3,Boy,1.4,5.86896466341827,1,9,0.8181818181818182
7,M3S203,Division,12,0,Fail,3,Boy,1.4,43.69746713035468,1,9,0.75
7,M3S501,Geometry,13,4,Pass,3,Boy,1.4,33.50650335390246,1,10,0.7692307692307693
7,M3S601,Data_Analysis,14,1,Pass,3,Boy,1.4,26.714123245802963,1,11,0.7857142857142857
7,M3S301,Missing_Numbers,15,3,Pass,3,Boy,1.4,22.289641973133243,1,12,0.8
7,M3S204,Addition,16,4,Pass,3,Boy,1.4,15.422679137490622,1,13,0.8125
7,M3S205,Subtraction,17,2,Pass,3,Boy,1.4,33.14016023917203,1,14,0.8235294117647058
7,M3S101,Word_Problems,18,1,Pass,3,Boy,1.4,50.30847718136565,1,15,0.8333333333333334
7,M3S206,Subtraction,19,2,Pass,3,Boy,1.4,23.83797599973577,1,16,0.8421052631578947
7,M3S207,Multiplication,20,4,Pass,3,Boy,1.4,42.49786336701912,1,17,0.85
7,M3S502,Geometry,21,0,Fail,3,Boy,1.4,37.3119782268651,1,17,0.8095238095238095
7,M3S302,Missing_Numbers,22,0,Fail,3,Boy,1.4,44.54121170089391,1,17,0.7727272727272727
7,M3S102,Logical_Reasoning,23,2,Pass,3,Boy,1.4,15.144833142507022,1,18,0.782608695652174
7,M3S208,Division,24,0,Fail,3,Boy,1.4,10.219288258021125,1,18,0.75
7,M3S602,Coding,25,0,Fail,3,Boy,1.4,12.376096259489245,1,18,0.72
8,M3S201a,Multiplication,1,1,Pass,3,Gir,4.0,18.671178121825847,1,1,1.0
8,M3S201b,Multiplication,2,1,Pass,3,Gir,4.0,59.16480318602159,1,2,1.0
8,M3S201c,Multiplication,3,1,Pass,3,Gir,4.0,31.45283353811436,1,3,1.0
8,M3S201d,Multiplication,4,1,Pass,3,Gir,4.0,45.49128939138881,1,4,1.0
8,M3S201e,Multiplication,5,1,Pass,3,Gir,4.0,15.564874013618407,1,5,1.0
8,M3S201f,Multiplication,6,1,Pass,3,Gir,4.0,17.16009488416936,1,6,1.0
8,M3S201g,Multiplication,7,1,Pass,3,Gir,4.0,48.743854795827716,1,7,1.0
8,M3S201h,Multiplication,8,1,Pass,3,Gir,4.0,57.87827888170607,1,8,1.0
8,M3S201i,Multiplication,9,0,Fail,3,Gir,4.0,38.25304678929582,1,8,0.8888888888888888
8,M3S201j,Multiplication,10,1,Pass,3,Gir,4.0,53.03062818017251,1,9,0.9
8,M3S202,Subtraction,11,3,Pass,3,Gir,4.0,49.19566012074773,1,10,0.9090909090909091
8,M3S203,Division,12,2,Pass,3,Gir,4.0,11.865135867903584,1,11,0.9166666666666666
8,M3S501,Geometry,13,4,Pass,3,Gir,4.0,45.340033052713075,1,12,0.9230769230769231
8,M3S601,Data_Analysis,14,2,Pass,3,Gir,4.0,41.09575702783371,1,13,0.9285714285714286
8,M3S301,Missing_Numbers,15,3,Pass,3,Gir,4.0,41.078611163082634,1,14,0.9333333333333333
8,M3S204,Addition,16,4,Pass,3,Gir,4.0,28.385222184934754,1,15,0.9375
8,M3S205,Subtraction,17,4,Pass,3,Gir,4.0,15.017309523782686,1,16,0.9411764705882353
8,M3S101,Word_Problems,18,1,Pass,3,Gir,4.0,17.012664756086714,1,17,0.9444444444444444
8,M3S206,Subtraction,19,3,Pass,3,Gir,4.0,17.427714547073407,1,18,0.9473684210526315
8,M3S207,Multiplication,20,4,Pass,3,Gir,4.0,51.91566720786838,1,19,0.95
8,M3S502,Geometry,21,0,Fail,3,Gir,4.0,32.77399565172159,1,19,0.9047619047619048
8,M3S302,Missing_Numbers,22,2,Pass,3,Gir,4.0,12.259053141253819,1,20,0.9090909090909091
8,M3S102,Logical_Reasoning,23,2,Pass,3,Gir,4.0,22.370214764631964,1,21,0.9130434782608695
8,M3S208,Division,24,2,Pass,3,Gir,4.0,51.030567354499205,1,22,0.9166666666666666
8,M3S602,Coding,25,0,Fail,3,Gir,4.0,6.143307657976415,1,22,0.88
9,M3S201a,Multiplication,1,1,Pass,3,Boy,2.2,24.9490145805364,1,1,1.0
9,M3S201b,Multiplication,2,1,Pass,3,Boy,2.2,47.37259117471193,1,2,1.0
9,M3S201c,Multiplication,3,1,Pass,3,Boy,2.2,10.93001884188531,1,3,1.0
9,M3S201d,Multiplication,4,1,Pass,3,Boy,2.2,12.99021978262753,1,4,1.0
9,M3S201e,Multiplication,5,0,Fail,3,Boy,2.2,57.28951815892956,1,4,0.8
9,M3S201f,Multiplication,6,0,Fail,3,Boy,2.2,26.90267445597347,1,4,0.6666666666666666
9,M3S201g,Multiplication,7,1,Pass,3,Boy,2.2,29.319215725409226,1,5,0.7142857142857143
9,M3S201h,Multiplication,8,0,Fail,3,Boy,2.2,46.408183529458604,1,5,0.625
9,M3S201i,Multiplication,9,1,Pass,3,Boy,2.2,31.132283433718225,1,6,0.6666666666666666
9,M3S201j,Multiplication,10,0,Fail,3,Boy,2.2,24.752260838680435,1,6,0.6
9,M3S202,Subtraction,11,3,Pass,3,Boy,2.2,11.899305032700202,1,7,0.6363636363636364
9,M3S203,Division,12,1,Pass,3,Boy,2.2,8.315878459528454,1,8,0.6666666666666666
9,M3S501,Geometry,13,5,Pass,3,Boy,2.2,27.21348648590603,1,9,0.6923076923076923
9,M3S601,Data_Analysis,14,1,Pass,3,Boy,2.2,13.929266163103922,1,10,0.7142857142857143
9,M3S301,Missing_Numbers,15,1,Pass,3,Boy,2.2,34.02796263528232,1,11,0.7333333333333333
9,M3S204,Addition,16,4,Pass,3,Boy,2.2,42.11079750738081,1,12,0.75
9,M3S205,Subtraction,17,4,Pass,3,Boy,2.2,24.774115395007254,1,13,0.7647058823529411
9,M3S101,Word_Problems,18,2,Pass,3,Boy,2.2,47.22920629477192,1,14,0.7777777777777778
9,M3S206,Subtraction,19,3,Pass,3,Boy,2.2,22.02396039069639,1,15,0.7894736842105263
9,M3S207,Multiplication,20,3,Pass,3,Boy,2.2,13.609869294184158,1,16,0.8
9,M3S502,Geometry,21,0,Fail,3,Boy,2.2,36.570547358747426,1,16,0.7619047619047619
9,M3S302,Missing_Numbers,22,2,Pass,3,Boy,2.2,34.8867441667587,1,17,0.7727272727272727
9,M3S102,Logical_Reasoning,23,1,Pass,3,Boy,2.2,38.678530920655945,1,18,0.782608695652174
9,M3S208,Division,24,0,Fail,3,Boy,2.2,49.09908632175955,1,18,0.75
9,M3S602,Coding,25,0,Fail,3,Boy,2.2,57.34180936291912,1,18,0.72
10,M3S201a,Multiplication,1,1,Pass,3,Boy,2.6,18.37749189065405,1,1,1.0
10,M3S201b,Multiplication,2,1,Pass,3,Boy,2.6,55.2442790571295,1,2,1.0
10,M3S201c,Multiplication,3,0,Fail,3,Boy,2.6,24.75234837885849,1,2,0.6666666666666666
10,M3S201d,Multiplication,4,1,Pass,3,Boy,2.6,37.81038740934006,1,3,0.75
10,M3S201e,Multiplication,5,1,Pass,3,Boy,2.6,43.449953450900935,1,4,0.8
10,M3S201f,Multiplication,6,1,Pass,3,Boy,2.6,55.33240723849037,1,5,0.8333333333333334
